請注意此測資出現相同分數時未以助教後面公布之排序
    Team              W    D    L    GF    GA    GD    Pts
01) Chelsea           27   5    6    103   32    +71    86
02) Man United        27   4    7    86    28    +58    85
03) Arsenal           23   6    9    83    41    +42    75
04) Tottenham         21   7    10   67    41    +26    70
05) Man City          18   13   7    73    45    +28    67
06) Aston Villa       17   13   8    52    39    +13    64
07) Everton           16   13   9    60    49    +11    61
08) Liverpool         17   9    11   57    35    +22    60
09) Blackburn         13   11   14   41    55    -14    50
10) Birmingham        13   11   14   38    47    -9     50
11) Stoke             11   14   13   34    48    -14    47
12) Fulham            12   10   16   39    46    -7     46
13) Sunderland        11   11   16   48    56    -8     44
14) Bolton            10   9    19   42    67    -25    39
15) Wolves            9    11   18   32    56    -24    38
16) Wigan             9    9    20   37    79    -42    36
17) West Ham          8    11   19   47    66    -19    35
18) Burnley           8    6    24   42    82    -40    30
19) Hull              6    12   20   34    75    -41    30
20) Portsmouth        7    7    24   34    66    -32    28
